,open,high,low,close,volume,value
2023-12-20 15:00:00,58171000.0,58199000.0,58164000.0,58198000.0,2.4775301,144171020.82012
2023-12-20 15:01:00,58174000.0,58199000.0,58150000.0,58187000.0,2.39555865,139374965.33567
2023-12-20 15:02:00,58151000.0,58187000.0,58110000.0,58121000.0,3.03548107,176477099.74921
2023-12-20 15:03:00,58147000.0,58149000.0,58110000.0,58111000.0,2.51694365,146280935.06666
2023-12-20 15:04:00,58111000.0,58139000.0,58105000.0,58110000.0,1.69207779,98325621.83899
2023-12-20 15:05:00,58105000.0,58110000.0,58093000.0,58093000.0,2.33192187,135486719.04084
2023-12-20 15:06:00,58099000.0,58105000.0,58088000.0,58088000.0,2.77305755,161105734.55435
2023-12-20 15:07:00,58090000.0,58092000.0,58043000.0,58048000.0,2.19087089,127218773.03438
2023-12-20 15:08:00,58048000.0,58112000.0,58047000.0,58057000.0,3.58218099,207980649.47385
2023-12-20 15:09:00,58109000.0,58112000.0,58056000.0,58110000.0,1.60819795,93430125.95439
