timestamp,kimp,exchange,type,crypto_price,balance
1703043857.6224492,1,Initial,0.6073,826.0,1000
1703043859.3537214,1,Binance,buy,0.6074,210.80517999999995
1703043881.0084255,1,Upbit,sell,826.0,1036.8051799999998
